table,variable,coef,se,z_abs,stars,spec,paper_title,journal,year,direction,positive,negative,estimated,note,t_stat,dependent,panel,leverage_measure,asset_class,pvalue,pvalue_bootstrap,pval
Table A4,Ln(S&P Index Level),-0.013,0.0085,1.522,,"Panel A, Col (2)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Ln(S&P Index Level),-0.03,0.0074,4.044,***,"Panel A, Col (3)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Ln(S&P Index Level),-0.005,0.0023,2.146,**,"Panel B, Col (1)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Ln(S&P Index Level),-0.004,0.0038,1.048,,"Panel B, Col (2)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Ln(S&P Index Level),0.0,0.0,0.034,,"Panel B, Col (3)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Unemployment Rate,-0.084,0.0945,0.889,,"Panel A, Col (1)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Unemployment Rate,-0.038,0.1138,0.334,,"Panel A, Col (2)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Unemployment Rate,-0.268,0.1606,1.668,,"Panel A, Col (3)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Unemployment Rate,0.024,0.1043,0.23,,"Panel B, Col (1)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Unemployment Rate,-0.045,0.1244,0.362,,"Panel B, Col (2)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table A4,Unemployment Rate,-0.215,0.1201,1.789,*,"Panel B, Col (3)",Quantify the quantitative easing: Impact on bonds and corporate debt issuance,JFE,2019,1,True,False,,,,,,,,,,
Table 6,Inverted share,-5.687,0.551,10.33,***,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-3.066,0.275,11.16,***,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-2.438,0.213,11.44,***,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-0.643,0.101,6.39,***,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-6.101,0.92,6.64,***,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-3.332,0.469,7.11,***,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-2.693,0.365,7.38,***,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-0.697,0.175,3.99,***,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-2.709,0.353,7.68,***,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-1.743,0.19,9.17,***,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-1.325,0.147,9.03,***,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Inverted share,-0.394,0.093,4.23,***,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.698,0.252,2.77,***,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.293,0.134,2.19,**,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,0.02,0.118,0.17,,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.36,0.059,6.09,***,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,0.07,0.389,0.18,,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,0.064,0.213,0.3,,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,0.361,0.187,1.93,*,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.412,0.101,4.08,***,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.76,0.159,4.78,***,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.354,0.101,3.52,***,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.076,0.075,1.01,,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Dark share,-0.253,0.055,4.61,***,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.096,0.04,2.41,**,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.048,0.025,1.93,*,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.04,0.019,2.1,**,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.002,0.012,0.17,,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.118,0.063,1.87,*,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.08,0.034,2.33,**,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.068,0.03,2.28,**,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.002,0.018,0.11,,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.043,0.039,1.1,,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.003,0.025,0.12,,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.001,0.014,0.07,,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[trade],0.002,0.011,0.19,,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.558,0.05,11.07,***,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.362,0.028,13.06,***,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.254,0.022,11.33,***,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.113,0.011,10.28,***,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.268,0.07,3.82,***,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.176,0.036,4.87,***,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.145,0.031,4.71,***,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.039,0.015,2.63,**,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.63,0.046,13.81,***,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.455,0.031,14.91,***,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.29,0.023,12.77,***,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1[quote],0.163,0.013,12.45,***,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.174,0.008,21.61,***,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.096,0.005,20.25,***,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.057,0.004,15.04,***,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.038,0.002,22.76,***,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.178,0.013,14.18,***,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.096,0.007,12.85,***,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.056,0.006,8.91,***,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.04,0.003,14.23,***,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.066,0.008,8.59,***,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.039,0.006,7.06,***,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.016,0.004,4.6,***,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,VIX,0.022,0.002,10.15,***,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.523,0.027,19.33,***,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.301,0.015,19.48,***,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.189,0.012,16.18,***,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.107,0.005,20.24,***,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.53,0.043,12.29,***,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.301,0.024,12.43,***,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.189,0.019,10.07,***,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.108,0.009,12.57,***,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.188,0.027,7.08,***,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.118,0.02,5.95,***,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.055,0.013,4.31,***,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Log(Size),-0.062,0.008,8.14,***,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,-0.492,0.222,2.22,**,Col (1) Full sample - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,0.273,0.151,1.81,*,Col (2) Full sample - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,-0.031,0.111,0.28,,Col (3) Full sample - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,0.32,0.057,5.57,***,Col (4) Full sample - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,1.483,0.614,2.42,**,Col (5) Low tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,1.557,0.373,4.18,***,Col (6) Low tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,0.873,0.29,3.01,***,Col (7) Low tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,0.66,0.103,6.43,***,Col (8) Low tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,1.474,0.413,3.57,***,Col (9) High tick constraint - Rel. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,1.27,0.315,4.03,***,Col (10) High tick constraint - Eff. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,0.737,0.2,3.69,***,Col (11) High tick constraint - Real. spd.,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,1/Price,0.537,0.12,4.47,***,Col (12) High tick constraint - Prc. impact,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.005,0.004,1.28,,Col (1) |1-VR|,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.002,0.007,0.28,,Col (2) |1-VR|,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.007,0.002,3.1,***,Col (3) AC(15s),"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.006,0.004,1.7,*,Col (4) AC(15s),"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.003,0.002,1.21,,Col (5) CC(15s),"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.004,0.002,2.33,**,Col (6) CC(15s),"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 7,1[s.t.trade-at]×1[post],0.084,0.048,1.75,*,Col (7) Rel. spread,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE,2019,0,False,False,,,,,,,,,,
Table 6,Treatment*Post,0.268,0.133,2.015,**,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Treatment*Post,0.18,0.099,1.818,*,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Treatment*Post,-0.019,0.008,2.375,**,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Size*Post,-0.056,0.04,1.4,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Size*Post,-0.075,0.09,0.833,,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Size*Post,-0.002,0.002,1.0,,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Cash*Post,-0.499,0.74,0.675,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Cash*Post,2.52,1.529,1.648,,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Cash*Post,-0.106,0.038,2.789,**,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Age*Post,-0.003,0.006,0.5,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Age*Post,0.007,0.006,1.167,,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Age*Post,-0.0001,0.0001,1.0,*,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Debt*Post,-0.047,0.081,0.58,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Debt*Post,-0.382,0.151,2.53,*,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 6,Debt*Post,-0.004,0.003,1.333,,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Treatment*Post,5.521,2.288,2.413,**,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Treatment*Post,-11.79,1.888,6.247,***,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Treatment*Post,-4.565,0.367,12.441,***,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Size*Post,0.573,0.86,0.666,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Size*Post,0.705,0.263,2.681,**,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Size*Post,-0.232,0.041,5.659,***,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Cash*Post,1.761,9.41,0.187,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Cash*Post,-110.4,24.04,4.591,***,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Cash*Post,11.85,2.03,5.837,***,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Age*Post,-0.134,0.048,2.792,**,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Age*Post,-0.293,0.063,4.651,***,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Age*Post,0.0147,0.007,2.1,**,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Debt*Post,9.494,2.985,3.182,**,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Debt*Post,2.324,1.76,1.32,,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 7,Debt*Post,0.109,0.186,0.586,,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Treatment*Post,-3.354,1.688,1.988,**,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Treatment*Post,-2.82,1.386,2.035,**,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Treatment*Post,-2.873,1.319,2.179,**,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Treatment*Post,-1.95,1.393,1.4,*,Col (4),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Size*Post,-0.285,0.203,1.403,,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Size*Post,-0.229,0.218,1.05,,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Size*Post,-0.243,0.251,0.968,,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Size*Post,-0.308,0.221,1.393,,Col (4),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Cash*Post,-61.67,22.65,2.723,**,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Cash*Post,-45.38,19.35,2.344,**,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Cash*Post,-43.9,20.25,2.168,**,Col (3),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Cash*Post,-30.76,14.58,2.111,**,Col (4),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Age*Post,-0.107,0.0584,1.833,*,Col (1),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
Table 8,Age*Post,-0.0765,0.0473,1.618,,Col (2),The value of collateral in trade finance,JFE,2019,0,False,False,,,,,,,,,,
